disease,dbxref
http://purl.obolibrary.org/obo/DOID_3952,SNOMEDCT_US_2023_03_01:129636003
http://purl.obolibrary.org/obo/DOID_0110382,ICD10CM:H35.5
http://purl.obolibrary.org/obo/DOID_0110382,MIM:613827
http://purl.obolibrary.org/obo/DOID_3458,SNOMEDCT_US_2023_03_01:865954003
http://purl.obolibrary.org/obo/DOID_3458,UMLS_CUI:C0858252
http://purl.obolibrary.org/obo/DOID_3458,NCI:C5214
http://purl.obolibrary.org/obo/DOID_9351,MESH:D003920
http://purl.obolibrary.org/obo/DOID_9351,ICD9CM:250
http://purl.obolibrary.org/obo/DOID_9351,UMLS_CUI:C0011849
http://purl.obolibrary.org/obo/DOID_9351,NCI:C2985
http://purl.obolibrary.org/obo/DOID_9351,ICD10CM:E08-E13
http://purl.obolibrary.org/obo/DOID_9351,SNOMEDCT_US_2023_03_01:267467004
http://purl.obolibrary.org/obo/DOID_0070642,ORDO:401849
http://purl.obolibrary.org/obo/DOID_0070642,MIM:620606
http://purl.obolibrary.org/obo/DOID_0080032,MESH:C562940
http://purl.obolibrary.org/obo/DOID_0080032,GARD:1567
http://purl.obolibrary.org/obo/DOID_0080032,MIM:218300
http://purl.obolibrary.org/obo/DOID_0110624,MIM:616037
http://purl.obolibrary.org/obo/DOID_0110624,ICD10CM:Q34.8
http://purl.obolibrary.org/obo/SYMP_0000538,UMLS_ICD9CM_2005_AUI:A0052720
http://purl.obolibrary.org/obo/SYMP_0000538,UMLS_CUI:C0013604
http://purl.obolibrary.org/obo/SYMP_0000538,ICD9CM_2005:782.3
http://purl.obolibrary.org/obo/DOID_9786,MESH:D011052
http://purl.obolibrary.org/obo/DOID_9786,SNOMEDCT_US_2023_03_01:64764001
http://purl.obolibrary.org/obo/DOID_9786,ICD9CM:045.0
http://purl.obolibrary.org/obo/DOID_9786,UMLS_CUI:C0032372
http://purl.obolibrary.org/obo/DOID_7459,NCI:C40359
http://purl.obolibrary.org/obo/DOID_7459,UMLS_CUI:C1519485
http://purl.obolibrary.org/obo/DOID_0050858,ORDO:561
http://purl.obolibrary.org/obo/DOID_0050858,MESH:C536026
http://purl.obolibrary.org/obo/DOID_0050858,MIM:602535
http://purl.obolibrary.org/obo/DOID_0050858,GARD:6985
http://purl.obolibrary.org/obo/DOID_1837,MIM:612227
http://purl.obolibrary.org/obo/DOID_1837,MESH:D016883
http://purl.obolibrary.org/obo/DOID_1837,NCI:C50530
http://purl.obolibrary.org/obo/DOID_1837,UMLS_CUI:C0011880
http://purl.obolibrary.org/obo/DOID_1837,ICD9CM:250.1
http://purl.obolibrary.org/obo/DOID_1837,SNOMEDCT_US_2023_03_01:154671004
http://purl.obolibrary.org/obo/DOID_12716,MIM:267450
http://purl.obolibrary.org/obo/DOID_12716,MESH:D006819
http://purl.obolibrary.org/obo/DOID_12716,UMLS_CUI:C0020192
http://purl.obolibrary.org/obo/DOID_12716,SNOMEDCT_US_2023_03_01:26168007
http://purl.obolibrary.org/obo/DOID_12716,ICD10CM:P22.0
http://purl.obolibrary.org/obo/DOID_0070370,MIM:619793
http://purl.obolibrary.org/obo/DOID_0081179,MIM:608443
http://purl.obolibrary.org/obo/DOID_6101,UMLS_CUI:C1516424
http://purl.obolibrary.org/obo/DOID_6101,NCI:C40205
http://purl.obolibrary.org/obo/DOID_0050710,MIM:PS210200
http://purl.obolibrary.org/obo/DOID_0050710,ORDO:6
http://purl.obolibrary.org/obo/DOID_0050710,GARD:10954
http://purl.obolibrary.org/obo/DOID_801,ICD10CM:M25.0
http://purl.obolibrary.org/obo/DOID_801,SNOMEDCT_US_2023_03_01:156581006
http://purl.obolibrary.org/obo/DOID_801,ICD9CM:719.1
http://purl.obolibrary.org/obo/DOID_801,UMLS_CUI:C0018924
http://purl.obolibrary.org/obo/DOID_801,MESH:D006395
http://purl.obolibrary.org/obo/DOID_3141,SNOMEDCT_US_2023_03_01:11528001
http://purl.obolibrary.org/obo/DOID_3141,MESH:D017520
http://purl.obolibrary.org/obo/DOID_3141,UMLS_CUI:C0162855
http://purl.obolibrary.org/obo/DOID_0110700,MIM:613981
http://purl.obolibrary.org/obo/DOID_0080073,MESH:D016136
http://purl.obolibrary.org/obo/DOID_2892,UMLS_CUI:C1299238
http://purl.obolibrary.org/obo/DOID_2892,NCI:C7453
http://purl.obolibrary.org/obo/DOID_2892,SNOMEDCT_US_2023_03_01:372100004
http://purl.obolibrary.org/obo/DOID_0080261,MIM:617637
http://purl.obolibrary.org/obo/DOID_0112146,MIM:618955
http://purl.obolibrary.org/obo/DOID_0070183,ORDO:137893
http://purl.obolibrary.org/obo/DOID_0070183,MIM:243060
http://purl.obolibrary.org/obo/DOID_0070183,GARD:12385
