Disease,Disease_mondo_reference,Disease_uberon_reference,Disease_cl_reference,Disease_doid_reference
Chronic Fatigue Syndrome,prefix='mondo' identifier='0005404' name='myalgic encephalomeyelitis/chronic fatigue syndrome',,,prefix='doid' identifier='8544' name='chronic fatigue syndrome'
Myalgic encephalomyelitis,prefix='mondo' identifier='0005404' name='myalgic encephalomeyelitis/chronic fatigue syndrome',,,prefix='doid' identifier='8544' name='chronic fatigue syndrome'
Systemic exertion intolerance disease,prefix='mondo' identifier='0005404' name='myalgic encephalomeyelitis/chronic fatigue syndrome',,,
Chronic inflammatory demyelinating polyradiculoneuropathy,prefix='mondo' identifier='0006702' name='chronic inflammatory demyelinating polyradiculoneuropathy',,,prefix='doid' identifier='5213' name='chronic inflammatory demyelinating polyradiculoneuropathy'
Chronic inflammatory demyelinating polyneuritis,prefix='mondo' identifier='0006702' name='chronic inflammatory demyelinating polyradiculoneuropathy',,,prefix='doid' identifier='2536' name='chronic inflammatory demyelinating polyneuritis'
Chronic inflammatory demyelinating polyneuropathy,prefix='mondo' identifier='0006702' name='chronic inflammatory demyelinating polyradiculoneuropathy',,,
Chronic relapsing polyneuropathy,prefix='mondo' identifier='0006702' name='chronic inflammatory demyelinating polyradiculoneuropathy',,,
Chronic inflammatory demyelinating polyradiculoneuropathy with central nervous system demyelination,,,,
Chronic interstitial cystitis,prefix='mondo' identifier='0018301' name='interstitial cystitis',,,prefix='doid' identifier='1678' name='chronic interstitial cystitis'
IC,,,prefix='cl' identifier='4070012' name='inferior cardiac neuron',
PBS,prefix='mondo' identifier='0002490' name='breast sarcoma',,,
Bladder pain syndrome,prefix='mondo' identifier='0018301' name='interstitial cystitis',,,
Painful bladder syndrome,prefix='mondo' identifier='0018301' name='interstitial cystitis',,,
Lyme disease,prefix='mondo' identifier='0019632' name='Lyme disease',,,prefix='doid' identifier='11729' name='Lyme disease'
Chronic Lyme disease,,,,
Erythema Migrans with Polyarthritis,,,,
Lyme Arthritis,,,,
Lyme Borreliosis,prefix='mondo' identifier='0019632' name='Lyme disease',,,prefix='doid' identifier='11729' name='Lyme disease'
Chronic multifocal osteomyelitis,prefix='mondo' identifier='0009813' name='chronic recurrent multifocal osteomyelitis',,,prefix='doid' identifier='0060645' name='chronic recurrent multifocal osteomyelitis'
Chronic post-COVID-19 syndrome,,,,
COVID Long-Hauler,,,,
Long COVID,,,,prefix='doid' identifier='0080848' name='long COVID'
Post-acute COVID-19,,,,
Post-Acute Sequelae of COVID-19,prefix='mondo' identifier='0100233' name='long COVID-19',,,
Cogan's syndrome,prefix='mondo' identifier='0015453' name='Cogan syndrome',,,prefix='doid' identifier='0060216' name='Cogan syndrome'
Diffuse interstitial keratitis,prefix='mondo' identifier='0001694' name='diffuse interstitial keratitis',,,prefix='doid' identifier='13353' name='diffuse interstitial keratitis'
CAD,prefix='mondo' identifier='0005010' name='coronary artery disorder',,,
Cold agglutinin disease,prefix='mondo' identifier='0018922' name='cold agglutinin disease',,,
"Anemia, hemolytic cold antibody",,,,
Cold antibody disease,prefix='mondo' identifier='0018922' name='cold agglutinin disease',,,
Cold antibody hemolytic anemia,prefix='mondo' identifier='0018922' name='cold agglutinin disease',,,
Cold autoimmune hemolytic anemia,,,,
Complex regional pain syndrome,prefix='mondo' identifier='0019369' name='complex regional pain syndrome',,,prefix='doid' identifier='3223' name='complex regional pain syndrome'
Amplified musculoskeletal pain syndrome,,,,
Causalgia,prefix='mondo' identifier='0020572' name='complex regional pain syndrome type 2',,,prefix='doid' identifier='3222' name='causalgia'
