Parent,Parent_mondo_reference,Parent_uberon_reference,Parent_cl_reference,Parent_doid_reference
Paroxysmal nocturnal hemoglobinuria,prefix='mondo' identifier='0100244' name='paroxysmal nocturnal hemoglobinuria',,,prefix='doid' identifier='0060284' name='paroxysmal nocturnal hemoglobinuria'
Pediatric autoimmune neuropsychiatric disorder associated with streptococcal infection,,,,
Pemphigus,prefix='mondo' identifier='0006594' name='pemphigus',,,prefix='doid' identifier='9182' name='pemphigus'
POEMS syndrome,prefix='mondo' identifier='0017364' name='POEMS syndrome',,,prefix='doid' identifier='14039' name='POEMS syndrome'
Polyarteritis nodosa,prefix='mondo' identifier='0019170' name='polyarteritis nodosa',,,prefix='doid' identifier='9810' name='polyarteritis nodosa'
Polyglandular autoimmune syndrome type 1,prefix='mondo' identifier='0009411' name='autoimmune polyendocrine syndrome type 1',,,
Polyglandular autoimmune syndrome type 2,,,,
Polyglandular autoimmune syndrome type 3,prefix='mondo' identifier='0016422' name='autoimmune polyendocrinopathy type 3',,,
Polyglandular autoimmune syndrome type 4,,,,
Polymyalgia rheumatica,prefix='mondo' identifier='0019735' name='polymyalgia rheumatica',,,prefix='doid' identifier='853' name='polymyalgia rheumatica'
Polymyositis,prefix='mondo' identifier='0019127' name='polymyositis',,,prefix='doid' identifier='0080745' name='polymyositis'
Postmyocardial infarction syndrome,prefix='mondo' identifier='0001049' name='Dressler syndrome',,,"prefix='doid' identifier='10507' name=""Dressler's syndrome"""
Primary biliary cholangitis,prefix='mondo' identifier='0005388' name='primary biliary cholangitis',,,prefix='doid' identifier='12236' name='primary biliary cholangitis'
Primary idiopathic dilated cardiomyopathy,,,,
Primary sclerosing cholangitis,prefix='mondo' identifier='0013433' name='primary sclerosing cholangitis',,,prefix='doid' identifier='0060643' name='primary sclerosing cholangitis'
Progressive hemifacial atrophy,prefix='mondo' identifier='0007710' name='facial hemiatrophy',,,
Psoriasis,prefix='mondo' identifier='0005083' name='psoriasis',,,prefix='doid' identifier='8893' name='psoriasis'
Psoriatic arthritis,prefix='mondo' identifier='0011849' name='psoriatic arthritis',,,prefix='doid' identifier='9008' name='psoriatic arthritis'
Pure red cell aplasia,prefix='mondo' identifier='0001705' name='pure red-cell aplasia',,,prefix='doid' identifier='1340' name='pure red-cell aplasia'
Pyoderma gangrenosum,prefix='mondo' identifier='0018824' name='pyoderma gangrenosum',,,prefix='doid' identifier='8553' name='pyoderma gangrenosum'
Rasmussen syndrome,prefix='mondo' identifier='0007587' name='external auditory canal atresia-vertical talus-hypertelorism syndrome',,,
Raynaud's phenomenon,,,,
Reactive arthritis,prefix='mondo' identifier='0017376' name='reactive arthritis',,,prefix='doid' identifier='6196' name='reactive arthritis'
Relapsing polychondritis,prefix='mondo' identifier='0019125' name='relapsing polychondritis',,,prefix='doid' identifier='2556' name='relapsing polychondritis'
Restless legs,,,,
Retinocochleocerebral vasculopathy,prefix='mondo' identifier='0019390' name='Susac syndrome',,,
Rheumatic Chorea,,,,
Rheumatic chorea,,,,
Rheumatic fever,prefix='mondo' identifier='0017767' name='rheumatic fever',,,prefix='doid' identifier='1586' name='rheumatic fever'
Rheumatoid arthritis,prefix='mondo' identifier='0008383' name='rheumatoid arthritis',,,prefix='doid' identifier='7148' name='rheumatoid arthritis'
Rheumatoid vasculitis,prefix='mondo' identifier='0043267' name='rheumatoid vasculitis',,,
Sarcoidosis,prefix='mondo' identifier='0019338' name='sarcoidosis',,,prefix='doid' identifier='11335' name='sarcoidosis'
Schnitzler syndrome,prefix='mondo' identifier='0018304' name='Schnitzler syndrome',,,prefix='doid' identifier='4371' name='Schnitzler syndrome'
Scleritis,prefix='mondo' identifier='0001718' name='scleritis',,,prefix='doid' identifier='13452' name='scleritis'
Sjögren's disease,,,,
SLE glomerulonephritis syndrome,,,,
Steroid-responsive encephalopathy associated with autoimmune thyroiditis,prefix='mondo' identifier='0019385' name='steroid-responsive encephalopathy associated with autoimmune thyroiditis',,,
Stiff-person syndrome,prefix='mondo' identifier='0008491' name='stiff-person syndrome',,,prefix='doid' identifier='13366' name='Stiff-Person syndrome'
Subacute bacterial endocarditis,prefix='mondo' identifier='0006981' name='subacute bacterial endocarditis',,,prefix='doid' identifier='4562' name='subacute bacterial endocarditis'
Sympathetic uveitis,prefix='mondo' identifier='0019198' name='sympathetic ophthalmia',,,prefix='doid' identifier='12029' name='sympathetic ophthalmia'
Systemic lupus erythematosus,prefix='mondo' identifier='0007915' name='systemic lupus erythematosus',,,prefix='doid' identifier='9074' name='systemic lupus erythematosus'
Systemic mast cell disease,prefix='mondo' identifier='0016586' name='systemic mastocytosis',,,
Systemic sclerosis,prefix='mondo' identifier='0005100' name='systemic sclerosis',,,prefix='doid' identifier='418' name='systemic scleroderma'
Systemic sclerosis with limited cutaneous involvement,,,,
Takayasu's arteritis,prefix='mondo' identifier='0017991' name='Takayasu arteritis',,,"prefix='doid' identifier='2508' name=""Takayasu's arteritis"""
Temporal arteritis,prefix='mondo' identifier='0008538' name='temporal arteritis',,,prefix='doid' identifier='13375' name='temporal arteritis'
Tolosa-Hunt syndrome,prefix='mondo' identifier='0018983' name='Tolosa-Hunt syndrome',,,prefix='doid' identifier='1278' name='tolosa-hunt syndrome'
Transverse myelitis,prefix='mondo' identifier='0021553' name='transverse myelitis',,,prefix='doid' identifier='0080743' name='transverse myelitis'
Ulcerative colitis,prefix='mondo' identifier='0005101' name='ulcerative colitis',,,prefix='doid' identifier='8577' name='ulcerative colitis'
Undifferentiated connective tissue disease,prefix='mondo' identifier='0019527' name='undifferentiated connective tissue syndrome',,,
Urticarial vasculitis,,,,
Uveitis,prefix='mondo' identifier='0020283' name='uveitis',,,prefix='doid' identifier='13141' name='uveitis'
Vitiligo,prefix='mondo' identifier='0008661' name='vitiligo',,,prefix='doid' identifier='12306' name='vitiligo'
Vogt-Koyanagi-Harada disease,prefix='mondo' identifier='0018092' name='Vogt-Koyanagi-Harada disease',,,prefix='doid' identifier='12297' name='Vogt-Koyanagi-Harada disease'
Warm autoimmune hemolytic anemia,"prefix='mondo' identifier='0019532' name='autoimmune hemolytic anemia, warm type'",,,
,,,,
