term,term_curie,uberon_curie,cl_curie,doid_curie,mondo_reference,uberon_reference,cl_reference,doid_reference
Fibromyalgia,mondo:0005546,,,doid:631,prefix='mondo' identifier='0005546' name='fibromyalgia',,,prefix='doid' identifier='631' name='fibromyalgia'
Reactive arthritis,mondo:0017376,,,doid:6196,prefix='mondo' identifier='0017376' name='reactive arthritis',,,prefix='doid' identifier='6196' name='reactive arthritis'
Herpes gestationis,mondo:0006558,,,doid:14482,prefix='mondo' identifier='0006558' name='pemphigoid gestationis',,,prefix='doid' identifier='14482' name='pemphigoid gestationis'
Ophthalmoplegia due to Graves' disease,,,,,,,,
Psoriasis,mondo:0005083,,,doid:8893,prefix='mondo' identifier='0005083' name='psoriasis',,,prefix='doid' identifier='8893' name='psoriasis'
Palindromic rheumatism,mondo:0001332,,,doid:1166,prefix='mondo' identifier='0001332' name='palindromic rheumatism',,,prefix='doid' identifier='1166' name='palindromic rheumatism'
Inclusion Body Myositis,mondo:0007827,,,doid:3429,prefix='mondo' identifier='0007827' name='inclusion body myositis',,,prefix='doid' identifier='3429' name='inclusion body myositis'
Progressive hemifacial atrophy,mondo:0007710,,,,prefix='mondo' identifier='0007710' name='facial hemiatrophy',,,
Idiopathic pulmonary fibrosis,mondo:0800504,,,doid:0050156,prefix='mondo' identifier='0800504' name='idiopathic pulmonary fibrosis',,,prefix='doid' identifier='0050156' name='idiopathic pulmonary fibrosis'
Juvenile Rheumatoid Arthritis,mondo:0005185,,,doid:676,prefix='mondo' identifier='0005185' name='chronic childhood arthritis',,,prefix='doid' identifier='676' name='systemic juvenile rheumatoid arthritis'
Sjögren's disease,,,,,,,,
Vitiligo,mondo:0008661,,,doid:12306,prefix='mondo' identifier='0008661' name='vitiligo',,,prefix='doid' identifier='12306' name='vitiligo'
Lichen planus,mondo:0006572,,,doid:9201,prefix='mondo' identifier='0006572' name='lichen planus',,,prefix='doid' identifier='9201' name='lichen planus'
Morphea,mondo:0019562,,,doid:8472,prefix='mondo' identifier='0019562' name='localized scleroderma',,,prefix='doid' identifier='8472' name='localized scleroderma'
Systemic lupus erythematosus,mondo:0007915,,,doid:9074,prefix='mondo' identifier='0007915' name='systemic lupus erythematosus',,,prefix='doid' identifier='9074' name='systemic lupus erythematosus'
SLE glomerulonephritis syndrome,,,,,,,,
Lupus vasculitis,,,,,,,,
Mixed collagen vascular disease,mondo:0005854,,,doid:3492,prefix='mondo' identifier='0005854' name='mixed connective tissue disease',,,prefix='doid' identifier='3492' name='mixed connective tissue disease'
Microscopic colitis,mondo:0000702,,,doid:0060182,prefix='mondo' identifier='0000702' name='microscopic colitis',,,prefix='doid' identifier='0060182' name='microscopic colitis'
Microscopic polyangiitis,mondo:0019124,,,,prefix='mondo' identifier='0019124' name='microscopic polyangiitis',,,
Stiff-person syndrome,mondo:0008491,,,doid:13366,prefix='mondo' identifier='0008491' name='stiff-person syndrome',,,prefix='doid' identifier='13366' name='Stiff-Person syndrome'
Necrotizing vasculitis,mondo:0800113,,,,prefix='mondo' identifier='0800113' name='necrotizing vasculitis',,,
Tolosa-Hunt syndrome,mondo:0018983,,,doid:1278,prefix='mondo' identifier='0018983' name='Tolosa-Hunt syndrome',,,prefix='doid' identifier='1278' name='tolosa-hunt syndrome'
Pediatric autoimmune neuropsychiatric disorder associated with streptococcal infection,,,,,,,,
Paraneoplastic cerebellar degeneration,mondo:0044877,,,,prefix='mondo' identifier='0044877' name='paraneoplastic cerebellar degeneration',,,
Paroxysmal nocturnal hemoglobinuria,mondo:0100244,,,doid:0060284,prefix='mondo' identifier='0100244' name='paroxysmal nocturnal hemoglobinuria',,,prefix='doid' identifier='0060284' name='paroxysmal nocturnal hemoglobinuria'
Primary biliary cholangitis,mondo:0005388,,,doid:12236,prefix='mondo' identifier='0005388' name='primary biliary cholangitis',,,prefix='doid' identifier='12236' name='primary biliary cholangitis'
Polymyalgia rheumatica,mondo:0019735,,,doid:853,prefix='mondo' identifier='0019735' name='polymyalgia rheumatica',,,prefix='doid' identifier='853' name='polymyalgia rheumatica'
Polymyositis,mondo:0019127,,,doid:0080745,prefix='mondo' identifier='0019127' name='polymyositis',,,prefix='doid' identifier='0080745' name='polymyositis'
Psoriatic arthritis,mondo:0011849,,,doid:9008,prefix='mondo' identifier='0011849' name='psoriatic arthritis',,,prefix='doid' identifier='9008' name='psoriatic arthritis'
Pyoderma gangrenosum,mondo:0018824,,,doid:8553,prefix='mondo' identifier='0018824' name='pyoderma gangrenosum',,,prefix='doid' identifier='8553' name='pyoderma gangrenosum'
Rasmussen syndrome,mondo:0007587,,,,prefix='mondo' identifier='0007587' name='external auditory canal atresia-vertical talus-hypertelorism syndrome',,,
Raynaud's phenomenon,,,,,,,,
Retinocochleocerebral vasculopathy,mondo:0019390,,,,prefix='mondo' identifier='0019390' name='Susac syndrome',,,
Restless legs,,,,,,,,
Rheumatic Chorea,,,,,,,,
Rheumatoid arthritis,mondo:0008383,,,doid:7148,prefix='mondo' identifier='0008383' name='rheumatoid arthritis',,,prefix='doid' identifier='7148' name='rheumatoid arthritis'
Rheumatoid vasculitis,mondo:0043267,,,,prefix='mondo' identifier='0043267' name='rheumatoid vasculitis',,,
Scleritis,mondo:0001718,,,doid:13452,prefix='mondo' identifier='0001718' name='scleritis',,,prefix='doid' identifier='13452' name='scleritis'
Transverse myelitis,mondo:0021553,,,doid:0080743,prefix='mondo' identifier='0021553' name='transverse myelitis',,,prefix='doid' identifier='0080743' name='transverse myelitis'
Subacute bacterial endocarditis,mondo:0006981,,,doid:4562,prefix='mondo' identifier='0006981' name='subacute bacterial endocarditis',,,prefix='doid' identifier='4562' name='subacute bacterial endocarditis'
Systemic mast cell disease,mondo:0016586,,,,prefix='mondo' identifier='0016586' name='systemic mastocytosis',,,
Takayasu's arteritis,mondo:0017991,,,doid:2508,prefix='mondo' identifier='0017991' name='Takayasu arteritis',,,"prefix='doid' identifier='2508' name=""Takayasu's arteritis"""
Undifferentiated connective tissue disease,mondo:0019527,,,,prefix='mondo' identifier='0019527' name='undifferentiated connective tissue syndrome',,,
Ulcerative colitis,mondo:0005101,,,doid:8577,prefix='mondo' identifier='0005101' name='ulcerative colitis',,,prefix='doid' identifier='8577' name='ulcerative colitis'
Urticarial vasculitis,,,,,,,,
Vogt-Koyanagi-Harada disease,mondo:0018092,,,doid:12297,prefix='mondo' identifier='0018092' name='Vogt-Koyanagi-Harada disease',,,prefix='doid' identifier='12297' name='Vogt-Koyanagi-Harada disease'
aCL syndrome,,,,,,,,
Acne inversa,mondo:0006559,,,,prefix='mondo' identifier='0006559' name='hidradenitis suppurativa',,,
Acquired angiodema,,,,,,,,
Acquired autoimmune hemolytic anemia,mondo:0020108,,,,prefix='mondo' identifier='0020108' name='autoimmune hemolytic anemia',,,
Acquired haemophilia,,,,,,,,
Acquired myasthenia,mondo:0009688,,,,prefix='mondo' identifier='0009688' name='myasthenia gravis',,,
Acquired pure red cell aplasia,mondo:0020338,,,,prefix='mondo' identifier='0020338' name='adult pure red cell aplasia',,,
Acuta guttale parapsoriasis,,,,,,,,
Acute brachial neuritis,mondo:0006682,,,,prefix='mondo' identifier='0006682' name='brachial plexus neuritis',,,
Acute hemorrhagic leukoencephalitis,mondo:0011716,,,doid:10992,prefix='mondo' identifier='0011716' name='acute hemorrhagic leukoencephalitis',,,prefix='doid' identifier='10992' name='acute hemorrhagic leukoencephalitis'
Acute motor axonal neuropathy,mondo:0020349,,,,prefix='mondo' identifier='0020349' name='acute motor axonal neuropathy',,,
Acute rheumatic fever,mondo:0017767,,,doid:1586,prefix='mondo' identifier='0017767' name='rheumatic fever',,,prefix='doid' identifier='1586' name='rheumatic fever'
Acute rheumatic myocarditis,mondo:0004582,,,doid:8481,prefix='mondo' identifier='0004582' name='rheumatic myocarditis',,,prefix='doid' identifier='8481' name='rheumatic myocarditis'
ADEM,mondo:0019383,,,doid:639,prefix='mondo' identifier='0019383' name='acute disseminated encephalomyelitis',,,prefix='doid' identifier='639' name='acute disseminated encephalomyelitis'
Adenomyometritis,,,,,,,,
Adenomyosis,mondo:0010888,,,doid:288,prefix='mondo' identifier='0010888' name='adenomyosis',,,prefix='doid' identifier='288' name='endometriosis of uterus'
Adenomysis uteri,,,,,,,,
Adiposis dolorosa,mondo:0007070,,,doid:3928,prefix='mondo' identifier='0007070' name='adiposis dolorosa',,,prefix='doid' identifier='3928' name='adiposis dolorosa'
Adrenal cortical hypofunction,mondo:0000004,,,doid:10493,prefix='mondo' identifier='0000004' name='adrenocortical insufficiency',,,prefix='doid' identifier='10493' name='adrenal cortical hypofunction'
Adrenal Insufficiency,mondo:0000004,,,,prefix='mondo' identifier='0000004' name='adrenocortical insufficiency',,,
Adult form of celiac disease,,,,,,,,
Adult Onset Ligneous conjunctivitis,,,,,,,,
Adult pure red cell aplasia,mondo:0020338,,,,prefix='mondo' identifier='0020338' name='adult pure red cell aplasia',,,
Adult Still's disease,mondo:0019355,,,,prefix='mondo' identifier='0019355' name='adult-onset Still disease',,,
Alopecia Totalis,mondo:0019080,,,,prefix='mondo' identifier='0019080' name='alopecia totalis',,,
Alopecia Universalis,mondo:0800198,,,doid:0050634,prefix='mondo' identifier='0800198' name='alopecia universalis',,,prefix='doid' identifier='0050634' name='alopecia universalis'
Amplified musculoskeletal pain syndrome,,,,,,,,
Anaphylactoid purpura,mondo:0019167,,,,prefix='mondo' identifier='0019167' name='immunoglobulin A vasculitis',,,
ANCA vasculitis,,,,,,,,
